channel,media_units,distribution,ci_hi,ci_lo,mean,channel_type,scaled_count_histogram,count_histogram,start_interval_histogram,end_interval_histogram
Google Paid Search,17252.5625,prior,0.9669944,0.78078765,0.87819284,media,,,,
Google Paid Search,17373.2109375,posterior,0.9103647,0.76917255,0.8441764,media,,,,
Google Paid Search,17373.2109375,prior,0.9672161,0.78197813,0.8789138,media,,,,
Google Paid Search,17493.857421875,posterior,0.9109278,0.770399,0.84507155,media,,,,
Google Paid Search,17493.857421875,prior,0.9674348,0.7831556,0.8796269,media,,,,
Google Paid Search,17614.505859375,posterior,0.9114838,0.7716124,0.845956,media,,,,
Google Paid Search,17614.505859375,prior,0.96765065,0.7843206,0.8803307,media,,,,
Google Paid Search,17735.15234375,posterior,0.912033,0.77281314,0.84683025,media,,,,
Google Paid Search,17735.15234375,prior,0.9678636,0.785473,0.8810267,media,,,,
Google Paid Search,17855.798828125,posterior,0.9125754,0.77400124,0.8476967,media,,,,
Google Paid Search,17855.798828125,prior,0.9680738,0.78661317,0.8817141,media,,,,
Google Paid Search,17976.4453125,posterior,0.9131112,0.775177,0.8485517,media,,,,
Google Paid Search,17976.4453125,prior,0.9682813,0.78774136,0.8823949,media,,,,
Google Paid Search,18097.09375,posterior,0.9136405,0.7763406,0.8493972,media,,,,
Google Paid Search,18097.09375,prior,0.9684861,0.7888576,0.88306695,media,,,,
Google Paid Search,18217.740234375,posterior,0.91416323,0.7774922,0.85023326,media,,,,
Google Paid Search,18217.740234375,prior,0.96868825,0.78996223,0.8837314,media,,,,
Google Paid Search,18338.388671875,posterior,0.91467977,0.77863204,0.8510597,media,,,,
Google Paid Search,18338.388671875,prior,0.9688878,0.7910553,0.8843881,media,,,,
Google Paid Search,18459.03515625,posterior,0.9151902,0.77976024,0.85187745,media,,,,
Google Paid Search,18459.03515625,prior,0.96908486,0.7921371,0.885038,media,,,,
Google Paid Search,18579.68359375,posterior,0.9156945,0.780877,0.85268706,media,,,,
Google Paid Search,18579.68359375,prior,0.9692794,0.7932077,0.88568014,media,,,,
Google Paid Search,18700.330078125,posterior,0.9161927,0.7819825,0.8534871,media,,,,
Google Paid Search,18700.330078125,prior,0.9694716,0.7942674,0.8863147,media,,,,
Google Paid Search,18820.978515625,posterior,0.9166852,0.7830769,0.85427856,media,,,,
Google Paid Search,18820.978515625,prior,0.96966136,0.7953163,0.88694316,media,,,,
Google Paid Search,18941.625,posterior,0.91717196,0.7841603,0.8550609,media,,,,
Google Paid Search,18941.625,prior,0.96984875,0.7963545,0.8875643,media,,,,
